SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-PVC-020,TERMINAL PVC 32MM,Canalización PVC y Accesorios,Tuberías y Conductos,10,UN,919.0,=E96*G96,1277.0,Disponible,P06839,
LT-PVC-021,CODO PVC 32 MM,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,0.0,=E97*G97,0.0,Disponible,,
LT-PVC-022,ABRAZADERAS OMEGA 32MM,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,80,UN,104.0,=E98*G98,0.15,Disponible,P04663,
LT-PVC-023,TUBO CONDUIT PVC 40MM 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,1963.0,=E99*G99,2727.0,Sin Stock,P04434,
LT-PVC-024,CURVA 90° CONDUIT PVC 40MM,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,414.0,=E100*G100,575.0,Sin Stock,P04446,
LT-PVC-025,TUBO CONDUIT PVC 50MM 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,2871.0,=E101*G101,3987.0,Sin Stock,P04435,
LT-PVC-026,CURVA 90° CONDUIT PVC 50MM,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,861.0,=E102*G102,1196.0,Disponible,P04447,
LT-PVC-027,TERMINAL COMPLETO CONDUIT PVC 50MM,Canalización PVC y Accesorios,Tuberías y Conductos,26,UN,734.0,=E103*G103,1020.0,Disponible,P04470,
LT-PVC-028,SALIDA DE CAJA CONDUIT PVC 50MM,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,364.0,=E104*G104,506.0,Sin Stock,P04465,
LT-PVC-029,ABRAZADERA METALICA OMEGA 40MM TSP-40,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,0,UN,51.0,=E105*G105,51.0,Sin Stock,P04664,
LT-PVC-030,ABRAZADERA METALICA OMEGA 50MM TSP-50,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,23,UN,77.0,=E106*G106,77.0,Disponible,P04665,
LT-PVC-031,CAJAS DE PASO PLASTICA,Canalización PVC y Accesorios,Cajas de Paso y Conexión,0,UN,0.0,=E107*G107,0.0,Sin Stock,,
LT-PVC-032,LX CAJA ESTANCA 85X85X50 IP55 7 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,0,UN,986.0,=E108*G108,1369.0,Sin Stock,P09241,
LT-PVC-033,LX CAJA ESTANCA 100X100X70 IP55 7 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,38,UN,1660.0,=E109*G109,2306.0,Disponible,P09238,
LT-PVC-034,LX CAJA ESTANCA 200X100X70 IP65 CON 8 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,11,UN,2783.0,=E110*G110,3865.0,Disponible,P11977,
LT-PVC-035,CAJA ESTANCA 200X155X80,Canalización PVC y Accesorios,Cajas de Paso y Conexión,1,UN,0.0,=E111*G111,0.0,Disponible,,
LT-PVC-036,LX CAJA ESTANCA 255X200X80 IP55 12 SALIDAS,Canalización PVC y Accesorios,Cajas de Paso y Conexión,1,UN,7131.0,=E112*G112,9904.0,Disponible,P09240,
LT-PVC-037,Prensa Estopa 25mm,Canalización PVC y Accesorios,Accesorios y Varios,20,UN,0.0,=E113*G113,0.0,Disponible,,
LT-PVC-038,Prensa Estopa 32mm,Canalización PVC y Accesorios,Accesorios y Varios,3,UN,0.0,=E114*G114,0.0,Disponible,,
LT-PVC-039,Pegamento,Canalización PVC y Accesorios,Accesorios y Varios,1,UN,0.0,=E115*G115,0.0,Disponible,,
LT-PVC-040,ACCESORIO 10X20 MM ZOLADA EXTERIOR,Canalización PVC y Accesorios,Accesorios y Varios,2,UN,0.0,=E116*G116,0.0,Disponible,,
LT-PVC-041,ACCESORIO 10X20 MM ZOLADA INTERIOR,Canalización PVC y Accesorios,Accesorios y Varios,3,UN,0.0,=E117*G117,0.0,Disponible,,
LT-DLP-001,ACCESORIO 10X20 MM ZOLADA PLANO,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,5,UN,0.0,=E118*G118,0.0,Disponible,,
LT-DLP-002,BANDEJA DLP 16X40 MM ZOLODA CON PEGAMENTO,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,3,TIRAS,0.0,=E119*G119,0.0,Disponible,,
LT-DLP-003,BANDEJA DLP 16X40 MM ZOLODA,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,13,MTS,0.0,=E120*G120,0.0,Disponible,,
LT-DLP-004,ACCESORIO 16X40MM ZOLODA INTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,4,UN,0.0,=E121*G121,0.0,Disponible,,
LT-DLP-005,ACCESORIO 16X40MM ZOLODA EXTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,48,UN,0.0,=E122*G122,0.0,Disponible,,
LT-DLP-006,ACCESORIO 16X40MM ZOLODA PLANO,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,0.0,=E123*G123,0.0,Sin Stock,,
LT-DLP-007,ACCESORIO 16X40MM ZOLODA FINAL,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,59,UN,0.0,=E124*G124,0.0,Disponible,,
LT-DLP-008,ACCESORIO 16X40MM ZOLODA T,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,30,UN,0.0,=E125*G125,0.0,Disponible,,
LT-DLP-009,BANDEJA DLP 16X40 MM CAFE,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,5,UN,0.0,=E126*G126,0.0,Disponible,,
