,,,,,,,,,,,
,,,,,,,Planilla,,,,
,,,,,,,may-25,,,,
,,,,,,,,,,,
,CLIENTE,,,,,,,,,,
,,,,,,,,,,,
,,PRODUCTOS,CANTIDAD,TIPO,COSTO,TOTAL,PROVEEDOR,,,,
,,TX PLUG RJ-45 CAT 6,,,,$0,,,,,
,,USER CORDS 2 MTS TX,,,,$0,,,,,
,,"USER CORDS 2,1 MTS LV",,,,$0,,,,,
,,"USER CORDS 6,1 MTS LV",,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,ELECTRICO,AUTOMATICO INTELIGENTE,,UN,"$40,051",$0,,,,,
,,BK TABLERO POLIESTER 1 PUERTA 400X300X200MM C/PLACA MONTAJE,,UN,"$40,051",$0,,,,,
,,BK TABLERO POLIESTER 1 PUERTA 500X400X200MM C/PLACA MONTAJE,,UN,"$40,051",$0,,,,,
,,BK TABLERO POLIESTER 1 PUERTA 600X400X230MM C/PLACA MONTAJE,,MTS,"$1,171",$0,,,,,
,,BK TABLERO POLIESTER 1 PUERTA 600X500X230MM C/PLACA MONTAJE,,MTS,"$2,294",$0,,,,,
,,BK TABLERO POLIESTER 1 PUERTA 800X600X300MM C/PLACA MONTAJE,,UN,"$2,474",$0,,,,,
,,BT MODULO MATIX 10A SEGURIDAD HEMBRA BLANCO AM5100,,UN,"$23,159",$0,,,,,
,,BT PLACA ANODIZADA 1P MAGIC 503/1,,UN,"$3,056",$0,,,,,
,,BT PLACA ANODIZADA 2P MAGIC 503/2,,UN,"$16,324",$0,,,,,
,,BT RIELES PLASTICOS 3P MAGIC 503R,,UN,"$30,000",$0,,,,,
,,CABLE DE PODER C-13,,UN,"$19,766",$0,,,,,
,,CABLE LSZH 2.5 MM B X 100,,UN,"$27,369",$0,,,,,
,,CABLE LSZH 2.5 MM R X 100,,UN,"$31,931",$0,,,,,
,,CABLE LSZH 2.5 MM V X 100,,UN,"$47,136",$0,,,,,
,,CABLE SALIDA UPS C-13-C14,,UN,"$60,820",$0,,,,,
,,CABLE SALIDA UPS C-19-C20,,UN,"$102,634",$0,,,,,
,,CALOTAS,,UN,"$74,496",$0,,,,,
,,CAMION POR MONTAJE DE POSTE + TABLERO + ANTENAS,,UN,"$111,701",$0,,,,,
,,CERTIFICACION RED ELECTRICA,,UN,"$106,625",$0,,,,,
,,CONECTOR RAPIDO 2 PIN,,UN,"$154,168",$0,,,,,
,,CONECTOR RAPIDO 4 PIN,,UN,"$261,145",$0,,,,,
,,CTO TABLEROS,,UN,"$2,103",$0,,,,,
,,ENCHUFE INDUSTRIAL HEMBRA 16 AMP,,UN,"$5,289",$0,,,,,
,,ENCHUFE INDUSTRIAL MACHO 16 AMP,,UN,"$5,289",$0,,,,,
,,EXTENCION (CABLE-MODULOS-ENCHUFE),,UN,"$3,799",$0,,,,,
,,LG AUTOMATICO 1X10A 6KA CURVA C RX3 419838,,UN,"$3,799",$0,,,,,
,,LG AUTOMATICO 1X16A 6KA CURVA C RX3 419840,,UN,"$3,799",$0,,,,,
,,LG AUTOMATICO 1X20A 6KA CURVA C RX3 419841,,UN,"$3,799",$0,,,,,
,,LG AUTOMATICO 1X25A 6KA CURVA C RX3 419842,,UN,"$3,799",$0,,,,,
,,LG AUTOMATICO 1X6A 6KA CURVA C RX3 419837,,UN,"$128,675",$0,,,,,
,,LG INTERRUPTOR DIFERENCIAL 2X25A 30MA HPI 411590,,UN,"$20,263",$0,,,,,
,,LG INTERRUPTOR DIFERENCIAL 2X25A 30MA RX3 402024,,UN,"$5,925",$0,,,,,
,,LG INTERRUPTOR DIFERENCIAL 2X40A 30MA HPI 411590,,UN,$761,$0,,,,,
,,LX TABLERO METAL 1 PUERTA 300X200X150 IP65,,UN,"$181,748",$0,,,,,
,,LX TABLERO METAL 1 PUERTA 300X300X200 IP65,,UN,"$230,324",$0,,,,,
,,LX TABLERO METAL 1 PUERTA 400X300X200 IP65,,UN,"$106,564",$0,,,,,
,,LX TABLERO METAL 1 PUERTA 500X400X200 IP65,,UN,"$98,884",$0,,,,,
